bad;/bæd/;adj:xấu, tồi
jalapeno;/ˌhɑː.ləˈpeɪ.njoʊ/;n:ớt hal-a-pay-nyo
jubilant;/ˈdʒuː.bəl.ənt/;adj:hân hoan, mừng rỡ
jubilation;/ˌdʒuː.bəlˈeɪ.ʃən/;n:sự hân hoan, mừng rỡ
joystick;/ˈdʒɔɪ.stɪk/;n:cần điều khiển
jeopardy;/ˈdʒep.ɚ.di/;n:nguy cơ, cảnh hiểm nghèo
jaundice;/ˈdʒɑːn.dɪs/;n:bệnh vàng da
kid;/kɪd/;n:đứa trẻ
key;/kiː/;n:chìa khóa
king;/kɪŋ/;n:nhà vua
kiss;/kɪs/;v:hôn/n:nụ hôn
keep;/kiːp/;v:giữ, nắm
keen;/kiːn/;adj:+ on quan tâm/adj:sắc sảo
kind;/kaɪnd/;adj:tốt bụng
knit;/nɪt/;v:đan, thêu;
kill;/kɪl/;v:giết, tiêu diệt
knot;/nɑːt/;n:nút thắt
know;/noʊ/;v:biết
knee;/niː/;n:đầu gối
kick;/kɪk/;v:đá/n:cú đá
knife;/naɪf/;n:con dao
kitty;/ˈkɪt̬.i/;n:mèo con
karma;/ˈkɑːr.mə/;n:nghiệp chướng
knock;/nɑːk/;v:gõ cửa
keeper;/ˈkiː.pɚ/;n:người bảo quản, trông giữ
kidnap;/ˈkɪd.næp/;v:bắt cóc
kitchen;/ˈkɪtʃ.ən/;n:căn bếp, phòng bếp
keyword;/ˈkiː.wɝːd/;n:từ khóa
knowledge;/ˈnɑː.lɪdʒ/;n:kiến thức
kangaroo;/ˌkæŋ.ɡəˈruː/;n:con chuột túi
kindness;/ˈkaɪnd.nəs/;n:lòng tốt
knowledgeable;/ˈnɑː.lɪ.dʒə.bəl/;adj:có hiểu biết sâu rộng
kaleidoscope;/kəˈlaɪ.də.skoʊp/;n:kính vạn hoa
knight;/naɪt/;n:hiệp sĩ
kettle;/ˈket̬.əl/;n:ấm đun nước
kingdom;/ˈkɪŋ.dəm/;n:vương quốc
keypad;/ˈkiː.pæd/;n:bàn phím (nhỏ)
ketchup;/ˈketʃ.ʌp/;n:xốt cà chua
keyboard;/ˈkiː.bɔːrd/;n:bàn phím (máy tính)
kingship;/ˈkɪŋ.ʃɪp/;n:vương quyền, vương vị
kinetic;/kɪˈnet̬.ɪk/;adj:liên quan đến chuyển động cơ học
kinetics;/kɪˈnet̬.ɪks/;n:cơ học
kerosene;/ˈker.ə.siːn/;n:dầu hỏa
keystroke;/ˈki.stroʊk/;n:tổ hợp phím
kingfisher;/ˈkɪŋˌfɪʃ.ɚ/;n:con chim bói cá
alone;/əˈloʊn/;adj:cô đơn, một mình/adv:cô độc, không có ai xung quanh
ability;/əˈbɪl.ə.t̬i/;n:khả năng
capable;/ˈkeɪ.pə.bəl/;adj:có thể làm việc một cách xuất sắc/adj:+of có khả năng làm gì
capability;/ˌkeɪ.pəˈbɪl.ə.t̬i/;n:+of, to khả năng làm gì
cable;/ˈkeɪ.bəl/;n:dây cáp
cancer;/ˈkæn.sɚ/;n:cung Cự Giải/n:bệnh ung thư
aries;/ˈer.iːz/;n:cung Bạch Dương
taurus;/ˈtɔːr.əs/;n:cung Kim Ngưu
gemini;/ˈdʒem.ə.naɪ/;n:cung Song Tử
leo;/ˈliː.oʊ/;n:cung Sư Tử
virgo;/ˈvɝː.ɡoʊ/;n:cung Xử Nữ
libra;/ˈliː.brə/;n:cung Thiên Bình
scorpius;/ˈskɔːr.pi.əs/;n:cung Hổ Cáp (Bọ Cạp)
sagittarius;/ˌsædʒ.əˈter.i.əs/;n:cung Nhân Mã
capricorn;/ˈkæp.rə.kɔːrn/;n:cung Ma Kết
aquarius;/əˈkwer.i.əs/;n:cung Bảo Bình
pisces;/ˈpaɪ.siːz/;n:cung Song Ngư
lady;/ˈleɪ.di/;n:người yêu, vợ, quý bà, tiểu thư
lake;/leɪk/;n:hồ
land;/lænd/;n:đất, đất canh tác, đất đai/v:hạ cánh (máy bay)
language;/ˈlæŋ.ɡwɪdʒ/;n:ngôn ngữ
large;/lɑːdʒ/;adj:rộng, lớn, to
last;/lɑːst/;n:lần cuối, sau cùng, người cuối cùng/adv:cuối cúng/v:kéo dài
late;/leɪt/;adj:trễ, muộn/adv:trễ
laugh;/lɑːf/;v:cười/n:tiếng cười
law;/lɔː/;n:luật
lay;/leɪ/;v:xếp, đặt, bố trí
lead;/liːd/;v:lãnh đạo, dẫn dắt/n:sự lãnh đạo, sự hướng dẫn
learn;/lɜːn/;v:học tập
least;/liːst/;det:tối thiểu/adv:ít nhất
leave;/liːv/;v:bỏ đi, rời đi, để lại
lonely;/ˈloʊn.li/;adj:cô đơn (buồn)
loneliness;/ˈloʊn.li.nəs/;n:sự cô đơn, tình trạng cô đơn
left;/left/;n:bên trái/adv:về phía trái/adj:thuộc về bên trái
leg;/leɡ/;n:chân (người, thú, bàn…)
length;/leŋθ/;n:chiều dài, độ dài
lose;/luːz/;v:đánh mất, làm mất/v:thua (trận đấu, trò chơi,...)
less;/les/;det:nhỏ bé, ít hơn/adj:số lượng ít hơn
let;/let/;v:cho phép, để cho
library;/ˈlaɪ.brer.i/;n:thư viện
librarian;/laɪˈbrer.i.ən/;n:thủ thư
letter;/ˈlet.ər/;n:thư/n:chữ cái, mẫu tự
level;/ˈlev.əl/;n:trình độ, cấp, vị trí/adj:bằng, ngang bằng
lie;/laɪ/;v:nói dối/n:lời nói dối, sự dối trá
life;/laɪf/;n:đời, sự sống
lift;/lɪft/;v:giơ lên, nhấc lên/n:sự nâng, sự nhấc lên
light;/laɪt/;n:ánh sáng/adj:nhẹ, nhẹ nhàng/v:đốt, thắp sáng
like;/laɪk/;prep:giống như/v:thích/conj:như
line;/laɪn/;n:dây, đường, tuyến
liquid;/ˈlɪk.wɪd/;n:chất lỏng/adj:lỏng, êm ái, du dương, không vững
list;/lɪst/;n:danh sách/v:ghi vào danh sách
limit;/ˈlɪm.ɪt/;n:giới hạn/v:giới hạn lại
limitation;/ˌlɪm.əˈteɪ.ʃən/;n:hành động giới hạn lại
listen;/ˈlɪs.ən/;v:nghe, lắng nghe
little;/ˈlɪt.əl/;adj:nhỏ, bé, chút ít/det:không nhiều/adv:một chút
live;/lɪv/;v:sống
locate;/ləʊˈkeɪt/;v:xác định vị trí, định vị
location;/loʊˈkeɪ.ʃən/;n:vị trí
log;/lɒɡ/;n:khúc gỗ mới đốn, khúc gỗ mới xẻ
logging;/ˈlɑː.ɡɪŋ/;n:hoạt động chặt cây lấy gỗ
lone;/ləʊn/;adj:(thơ ca) hiu quạnh
long;/lɒŋ/;adj:dài, xa/adv:lâu
look;/lʊk/;v:nhìn/n:cái nhìn
lot;/lɒt/;n:thăm, việc rút thăm/n:sự chọn bằng cách rút thăm
lottery;/ˈlɑː.t̬ɚ.i/;n:xổ số
loud;/laʊd/;adj:to, inh ỏi, ầm ĩ/adv:to, lớn (nói)
love;/lʌv/;v:yêu
low;/ləʊ/;adj:thấp, bé, lùn/adv:thấp
lotus;/ˈloʊ.t̬əs/;n:hoa sen
scorpion;/ˈskɔːr.pi.ən/;n:con bọ cạp
machine;/məˈʃiːn/;n:máy, máy móc
magnet;/ˈmæɡ.nət/;n:nam châm
main;/meɪn/;adj:chính, chủ yếu, trọng yếu nhất
major;/ˈmeɪ.dʒər/;adj:lớn, nhiều hơn, trọng đại, chủ yếu/v:+ in chuyên ngành chính/n:thiếu tá
minor;/ˈmaɪ.nɚ/;adj:nhỏ bé, phần nhỏ, không quan trọng/n:trẻ em/v:+ in chuyên ngành phụ
majority;/məˈdʒɔː.rə.t̬i/;n:phần lớn (+ of) của cái gì
minority;/maɪˈnɔːr.ə.t̬i/;n:phần nhỏ (+ of) của cái gì
make;/meɪk/;v:làm, chế tạo/n:sự chế tạo
man;/mæn/;n:con người/n:đàn ông
many;/ˈmen.i/;det:nhiều
map;/mæp/;n:bản đồ
mark;/mɑːk/;n:dấu, nhãn, nhãn mác/v:đánh dấu, ghi dấu
market;/ˈmɑː.kɪt/;n:chợ, thị trường
mass;/mæs/;n:khối, khối lượng/adj:ảnh hưởng đến quần chúng, đại chúng
master;/ˈmɑː.stər/;n:chủ, chủ nhân, thầy giáo, thạc sĩ
match;/mætʃ/;n:trận thi đấu, đối thủ, địch thủ/n:que diêm/v:đối chọi, sánh được
material;/məˈtɪə.ri.əl/;n:nguyên vật liệu/adj:vật chất, hữu hình
matter;/ˈmæt.ər/;n:chất, vật chất/v:có ý nghĩa, có tính chất quan trọng
me;/miː/;pron:tôi, tớ, mình
mean;/miːn/;v:nghĩa, có nghĩa là/adj:xấu tính, kẹt xỉ
measure;/ˈmeʒ.ər/;v:đo, đo lường/n:sự đo lường, đơn vị đo lường
meat;/miːt/;n:thịt
meet;/miːt/;v:gặp, gặp gỡ
melody;/ˈmel.ə.di/;n:giai điệu
men;/men/;n:những người đàn ông (số nhiều)
metal;/ˈmet.əl/;n:kim loại
method;/ˈmeθ.əd/;n:phương pháp, cách thức
middle;/ˈmɪd.l̩/;n:cái ở giữa/adj:giữa, ở giữa
might;/maɪt/;v:có thể, có lẽ
mile;/maɪl/;n:dặm (đo lường)
milk;/mɪlk/;n:sữa
million;/ˈmɪl.jən/;det:triệu
mind;/maɪnd/;n:tâm trí, tinh thần, trí tuệ/v:chú ý, để ý, chăm sóc, quan tâm
mine;/maɪn/;pron:của tôi
minute;/ˈmɪn.ɪt/;n:phút
miss;/mɪs/;n:cô gái, thiếu nữ/v:nhớ nhung/v:bỏ lỡ, trượt
mix;/mɪks/;v:pha, trộn lẫn/n:sự pha trộn
mixture;/ˈmɪks.tʃɚ/;n:hỗn hợp
modern;/ˈmɒd.ən/;adj:hiện đại, tân tiến
molecule;/ˈmɒl.ɪ.kjuːl/;n:(hoá học) phân tử
moment;/ˈməʊ.mənt/;n:chốc, lát
money;/ˈmʌn.i/;n:tiền
month;/mʌnθ/;n:tháng
moon;/muːn/;n:mặt trăng
more;/mɔːr/;det:hơn, nhiều hơn/adv:hơn
morning;/ˈmɔː.nɪŋ/;n:buổi sáng
afternoon;/ˌæf.tɚˈnuːn/;n:buổi chiều
most;/məʊst/;det:lớn nhất, nhiều nhất/adv:nhất, hơn cả
mother;/ˈmʌð.ər/;n:mẹ
motion;/ˈməʊ.ʃən/;n:sự chuyển động, sự di động
mount;/maʊnt/;v:leo, trèo, cưỡi/n:núi (viết trước tên ngọn núi)/n:thú cưỡi (ngựa)
mountain;/ˈmaʊn.tɪn/;n:núi
mouth;/maʊθ/;n:miệng
move;/muːv/;v:di chuyển, chuyển động/n:sự di chuyển, sự chuyển động
much;/mʌtʃ/;det:nhiều, lắm
multiply;/ˈmʌl.tɪ.plaɪ/;v:nhân lên, làm tăng lên nhiều lần
music;/ˈmjuː.zɪk/;v:nhạc, âm nhạc
must;/mʌst/;v:phải, cần, nên làm/n:điều cần, nên làm
my;/maɪ/;det:của tôi
musician;/mjuːˈzɪʃ.ən/;n:nhạc sĩ
artist;/ˈɑːr.t̬ɪst/;n:họa sĩ
musical;/ˈmjuː.zɪ.kəl/;adj:liên quan đến âm nhạc
name;/neɪm/;n:tên/v:đặt tên, gọi tên
nation;/ˈneɪ.ʃən/;n:dân tộc, quốc gia
nationality;/ˌnæʃ.ənˈæl.ə.t̬i/;n:quốc tịch
national;/ˈnæʃ.nəl/;adj:thuộc quốc gia, dân tộc
natural;/ˈnætʃ.ər.əl/;adj:(thuộc) tự nhiên, thiên nhiên
nature;/ˈneɪ.tʃər/;n:tự nhiên, thiên nhiên
near;/nɪər/;adj:gần, cận/prep:ở gần/adv:gần
necessary;/ˈnes.ə.ser.i/;adj:cần, cần thiết, thiết yếu
neck;/nek/;v:cổ
need;/niːd/;v:cần, đòi hỏi/n:sự cần
neighbor;/ˈneɪ.bər/;n:hàng xóm
neighborhood;/ˈneɪ.bə.hʊd/;n:khu phố (nơi mình sống)
never;/ˈnev.ər/;adv:không bao giờ, không khi nào
new;/njuː/;adj:mới, mới mẻ, mới lạ
next;/nekst/;adj:+ to sát, gần, bên cạnh/n:lần sau/adv:tiếp nữa
night;/naɪt/;n:đêm, tối
nine;/naɪn/;n:chín, số chín
no;/nəʊ/;det:không
noise;/nɔɪz/;n:tiếng ồn, sự huyên náo
noisy;/ˈnɔɪ.zi/;adj:ồn ào
noon;/nuːn/;n:trưa, buổi trưa
nor;/nɔːr/;conj:cũng không
north;/nɔːθ/;n:phía bắc, phương bắc/adj:về phía bắc/adv:về phía bắc
nose;/nəʊz/;n:mũi
note;/nəʊt/;n:lời ghi, lời ghi chép/v:ghi chú, ghi chép
notebook;/ˈnoʊt.bʊk/;n:sổ ghi chép, vở
nothing;/ˈnʌθ.ɪŋ/;pron:không gì, không cái gì
notice;/ˈnəʊ.tɪs/;n:thông báo, yết thị/v:chú ý, để ý, nhận biết
now;/naʊ/;adv:bây giờ, hiện giờ, hiện nay
number;/ˈnʌm.bər/;n:số
numeral;/ˈnjuː.mə.rəl/;adj:thuộc số
nice;/naɪs/;adj:đẹp, thú vị, dễ chịu
net;/net/;n:lưới, mạng
nut;/nʌt/;n:quả hạch
nail;/neɪl/;n:móng tay
news;/nuːz/;n:tin tức
nest;/nest/;n:cái tổ, ổ (chim)
neat;/niːt/;adj:gọn gàng, năng nắp
nurse;/nɝːs/;n:y tá
nephew;/ˈnef.juː/;n:cháu trai
grandfather;/ˈɡræn.fɑː.ðɚ/;n:ông
grandmother;/ˈɡræn.mʌð.ɚ/;n:bà
niece;/niːs/;n:cháu gái
novel;/ˈnɑː.vəl/;n:tiểu thuyết
noodle;/ˈnɑː.dəl/;n:sợi bún, sợi mì, sợi phở
narrow;/ˈner.oʊ/;adj:hẹp
naughty;/ˈnɑː.t̬i/;adj:nghịch ngợm
nervous;/ˈnɝː.vəs/;adj:lo lắng
butterfly;/ˈbʌt̬.ɚ.flaɪ/;n:con bướm
butter;/ˈbʌt̬.ɚ/;n:bơ
nutrient;/ˈnuː.tri.ənt/;n:chất dinh dưỡng
nutrition;/nuːˈtrɪʃ.ən/;n:sự dinh dưỡng
nutritious;/nuːˈtrɪʃ.əs/;adj:giàu dinh dưỡng
needle;/ˈniː.dəl/;n:cây kim
nuclear;/ˈnuː.kliː.ɚ/;adj:liên quan đến hạt nhân
fox;/fɑːks/;n:con cáo
female;/ˈfiː.meɪl/;adj:thuộc về nữ giới, phái nữ/n:nữ
male;/meɪl/;adj:thuộc về phái nam, nam giới/n:nam
object;/ˈɒb.dʒɪkt/;n:vật, vật thể/v:phản đối, chống lại
observe;/əbˈzɜːv/;v:quan sát, theo dõi
occur;/əˈkɜːr/;v:xảy ra, xảy đến, xuất hiện
ocean;/ˈəʊ.ʃən/;n:đại dương
of;/əv/;prep:của
off;/ɒf/;adv:tắt/prep:khỏi, cách, rời
offer;/ˈɒf.ər/;v:biếu, tặng, cho/n:sự trả giá
office;/ˈɒf.ɪs/;n:cơ quan, văn phòng, bộ
often;/ˈɒf.ən/;adv:thường, hay, luôn
oil;/ɔɪl/;n:dầu
old;/əʊld/;n:già
on;/ɒn/;prep:trên, ở trên/adv:tiếp tục, tiếp diễn
once;/wʌns/;adv:một lần/conj:khi mà, ngay khi, một khi
one;/wʌn/;det:một/pron:một người, một vật nào đó
only;/ˈəʊn.li/;adj:chỉ có 1, duy nhất/adv:chỉ, mới
open;/ˈəʊ.pən/;adj:mở, ngỏ/v:mở, bắt đầu, khai mạc
operate;/ˈɒp.ər.eɪt/;v:hoạt động, điều khiển
opposite;/ˈɒp.ə.zɪt/;adj:đối nhau, ngược nhau/prep:trước mặt, đối diện/n:điều trái ngược
order;/ˈɔː.dər/;n:thứ, bậc/v:ra lệnh
organ;/ˈɔː.ɡən/;n:đàn óoc gan
original;/əˈrɪdʒ.ɪ.nəl/;adj:(thuộc) gốc, nguồn gốc, căn nguyên/n:nguyên bản
origin;/ˈɔːr.ə.dʒɪn/;n:gốc, nguồn gốc
other;/ˈʌð.ər/;pron:cái khác/adj:khác
our;/aʊər/;det:của chúng ta, thuộc chúng ta
out;/aʊt/;adv:ngoài, ở ngoài, ra ngoài
over;/ˈəʊ.vər/;adv:bên trên, vượt qua/prep:lên, lên trên
own;/əʊn/;adj:của chính mình, tự mình/v:sở hữu
oxygen;/ˈɒk.sɪ.dʒən/;n:(hóa học) oxy
odd;/ɑːd/;adj:kỳ lạ, không ngờ đến
obey;/oʊˈbeɪ/;v:vâng lời, tuân lệnh
onion;/ˈʌn.jən/;n:củ hành tây
opera;/ˈɑː.pɚ.ə/;n:hát ô-pê-ra
obese;/oʊˈbiːs/;adj:béo phì
obesity;/oʊˈbiː.sə.t̬i/;n:sự béo phì
otter;/ˈɑː.t̬ɚ/;n:con rái cá
option;/ˈɑːp.ʃən/;n:lựa chọn, tùy chọn
orange;/ˈɔːr.ɪndʒ/;n:quả cam
output;/ˈaʊt.pʊt/;n:đầu ra
input;/ˈɪn.pʊt/;n:đầu vào
occupy;/ˈɑː.kjə.paɪ/;v:giữ, chiếm, làm ai bận rộn
orient;/ˈɔr·i·ənt/;v:định hướng
orientation;/ˌɔːr.i.enˈteɪ.ʃən/;n:sự định hướng
orphan;/ˈɔːr.fən/;n:trẻ mồ côi
overall;/ˌoʊ.vɚˈɑːl/;adv:tổng thể/adj:tổng thể, tổng quát
offense;/əˈfens/;n:hành động xúc phạm
obvious;/ˈɑːb.vi.əs/;adj:hiển nhiên
opinion;/əˈpɪn.jən/;n:quan điểm, ý kiến
online;/ˈɑːn.laɪn/;adj:trực tuyến
offline;/ˌɑːfˈlaɪn/;adj:ngoại tuyến
ostrich;/ˈɑː.strɪtʃ/;n:con đà điểu
ongoing;/ˈɑːnˌɡoʊ.ɪŋ/;adj:đang diễn ra
organize;/ˈɔːr.ɡən.aɪz/;v:tổ chức, sắp xếp
organization;/ˌɔːr.ɡən.əˈzeɪ.ʃən/;n:tổ chức
ordinary;/ˈɔːr.dən.er.i/;adj:bình thường, thông thường
opponent;/əˈpoʊ.nənt/;n:đối thủ, người phản đối
operator;/ˈɑː.pə.reɪ.t̬ɚ/;n:người điều hành
offensive;/ˈɑːˌfen.sɪv/;adj:phản cảm
objective;/əbˈdʒek.tɪv/;n:mục tiêu
outskirts;/ˈaʊt.skɝːts/;n:ngoại ô
originate;/əˈrɪdʒ.ən.eɪt/;v:bắt nguồn từ
obedience;/oʊˈbiː.di.əns/;n:sự vâng lời, sự tuân lệnh
opportunity;/ˌɑː.pɚˈtuː.nə.t̬i/;n:cơ hội
estimate;/ˈes.tə.meɪt/;v:ước tính, ước lượng
page;/peɪdʒ/;n:trang (sách)
paint;/peɪnt/;n:sơn, vôi màu/v:sơn, quét sơn
pair;/peər/;n:đôi, cặp
paper;/ˈpeɪ.pər/;n:giấy
paragraph;/ˈpær.ə.ɡrɑːf/;n:đoạn văn
parent;/ˈpeə.rənt/;n:cha, mẹ, phụ huynh
part;/pɑːt/;n:phần, bộ phận
particular;/pəˈtɪk.jʊ.lər/;adj:riêng biệt, cá biệt
party;/ˈpɑː.ti/;n:tiệc, buổi liên hoan/n:đảng
pass;/pɑːs/;v:qua, vượt qua, ngang qua
past;/pɑːst/;n:quá khứ, dĩ vãng/adj:thuộc về quá khứ
path;/pɑːθ/;n:đường mòn/n:hướng đi
pattern;/ˈpæt.ən/;n:mẫu, khuôn mẫu
pay;/peɪ/;v:trả, thanh toán, nộp/n:tiền lương
payment;/ˈpeɪ.mənt/;n:sự thanh toán, số tiền thanh toán
people;/ˈpiː.pl̩/;n:dân tộc, dòng giống/n:người (số nhiều)
perhaps;/pəˈhæps/;adv:có thể, có lẽ
period;/ˈpɪə.ri.əd/;n:kỳ, thời kỳ, thời gian, thời đại
person;/ˈpɜː.sən/;n:con người, người (số ít)
phrase;/freɪz/;n:câu, thành ngữ, cụm từ
pick;/pɪk/;v:+up nhặt lên/v:lựa chọn
picture;/ˈpɪk.tʃər/;n:bức vẽ, bức họa
piece;/piːs/;n:mảnh, mẩu
pitch;/pɪtʃ/;n:sân (chơi các môn thể thao)
place;/pleɪs/;n:nơi, địa điểm/v:đặt, để
plain;/pleɪn/;adj:ngay thẳng, đơn giản, chất phác
plan;/plæn/;n:bản đồ, kế hoạch/v:vẽ bản đồ, lập kế hoạch, dự kiến
plane;/pleɪn/;n:mặt phẳng, mặt bằng/n:máy bay
airplane;/ˈer.pleɪn/;n:máy bay
planet;/ˈplæn.ɪt/;n:hành tinh
plant;/plɑːnt/;n:thực vật, sự mọc lên/v:trồng, gieo
play;/pleɪ/;v:chơi, đánh/n:sự vui chơi, trò chơi, trận đấu
please;/pliːz/;v:làm vui lòng, vừa lòng, xin mời
poem;/ˈpəʊ.ɪm/;n:bài thơ
pleasant;/ˈplez.ənt/;adj:dễ chịu, dễ mến
point;/pɔɪnt/;n:mũi nhọn, điểm/v:vót, làm nhọn, chấm (câu..)
poor;/pɔːr/;adj:nghèo
poverty;/ˈpɑː.vɚ.t̬i/;n:sự nghèo, tình trạng nghèo
popular;/ˈpɒp.jʊ.lər/;adj:có tính đại chúng, được nhiều người biết
populate;/ˈpɒp.jʊ.leɪt/;v:ở, cư trú (một vùng)
population;/ˌpɑː.pjəˈleɪ.ʃən/;n:dân số
port;/pɔːt/;n:cảng
pose;/pəʊz/;v:đưa ra, đề ra, đặt/n:sự đặt, đề ra/n:dáng người
position;/pəˈzɪʃ.ən/;n:vị trí, chỗ
possible;/ˈpɒs.ə.bl̩/;adj:có thể, có thể thực hiện
possibility;/ˌpɑː.səˈbɪl.ə.t̬i/;n:khả năng
post;/pəʊst/;n:thư, bưu kiện/v:gửi thư
pound;/paʊnd/;n:pao (đơn vị đo lường)
power;/paʊər/;n:khả năng, tài năng, năng lực/n:sức mạnh, nội lực, quyền lực
practice;/ˈpræk.tɪs/;n:thực hành, thực tiễn/v:luyện tập
prepare;/prɪˈpeər/;v:sửa soạn, chuẩn bị
present;/ˈprez.ənt/;adj:có mặt, hiện diện/n:hiện nay, hiện thời/v:bày tỏ, giới thiệu, trình bày
press;/pres/;n:sự ép, sự nén, sự ấn/v:ép, nén, bóp, ấn
pretty;/ˈprɪt.i/;adv:khá, vừa phải/adj:xinh, xinh xắn, đẹp
print;/prɪnt/;v:in, xuất bản/n:sự in ra
probable;/ˈprɒb.ə.bl̩/;adj:có thể, có khả năng
problem;/ˈprɒb.ləm/;n:vấn đề, điều khó giải quyết
process;/ˈprəʊ.ses/;n:quá trình, sự tiến triển, quy trình/v:chế biến, gia công, xử lý
produce;/prəˈdjuːs/;v:sản xuất, chế tạo
product;/ˈprɒd.ʌkt/;n:sản phẩm
proper;/ˈprɒp.ər/;adj:đúng, thích đáng, thích hợp
property;/ˈprɒp.ə.ti/;n:tài sản, của cải/n:đất đai, nhà cửa, bất động sản
protect;/prəˈtekt/;v:bảo vệ, che chở
prove;/pruːv/;v:chứng tỏ, chứng minh
provide;/prəˈvaɪd/;v:cung cấp, chu cấp
pull;/pʊl/;v:lôi, kéo, giật/n:sự lôi kéo, sự giật
push;/pʊʃ/;v:xô đẩy/n:sự xô đẩy
put;/pʊt/;v:đặt, để, cho vào
portion;/ˈpɔːr.ʃən/;n:khẩu phần ăn/n:một phần của cái gì
production;/prəˈdʌk.ʃən/;n:sự sản xuất, quá trình sản xuất
productive;/prəˈdʌk.tɪv/;adj:năng suất
park;/pɑːrk/;n:công viên/v:đỗ xe
picturesque;/ˌpɪk.tʃərˈesk/;adj:đẹp như tranh vẽ
quiz;/kwɪz/;n:câu đố
quite;/kwaɪt/;adv:gần như hoàn toàn
quit;/kwɪt/;v:từ bỏ, rời bỏ
quick;/kwɪk/;adj:nhanh nhẹn, nhanh chóng
quibble;/ˈkwɪb.əl/;v:+ about,over tranh (không quan trọng)/n:lời phàn nàn không quan trọng
quintessence;/kwɪnˈtes.əns/;n:đặc trưng, tiêu biểu
quintessential;/ˌkwɪn.tɪˈsen.ʃəl/;adj:đặc trưng, tiêu biểu của...
quack;/kwæk/;v:kêu như vịt/n:lang băm
quackery;/ˈkwæk.ɚ.i/;n:phương thuốc vô dụng, chỉ để kiếm tiền
quadruplet;/kwɑːˈdruː.plət/;n:sinh bốn (cùng mẹ)
quadrant;/ˈkwɑː.drənt/;n:góc phần tư
quill;/kwɪl/;n:lông nhím
quirk;/kwɝːk/;n:kỳ quặc, hành động kỳ quặc
quirkiness;/ˈkwɝː.ki.nəs/;n:kỳ quặc một cách thú vị, thu hút
quell;/kwel/;v:dập tắt
quash;/kwɑːʃ/;v:hủy án, hủy quyết định
quote;/kwoʊt/;v:trích dẫn
quiver;/ˈkwɪv.ɚ/;v:run
queue;/kjuː/;n:hàng (người)/v:xếp hàng
queen;/kwiːn/;n:nữ hoàng
quarter;/ˈkwɔːr.t̬ɚ/;n:một phần tư
quiet;/ˈkwaɪ.ət/;adj:im lặng, im ắng
query;/ˈkwɪr.i/;n:câu hỏi mang tính xác nhận/v:hỏi xác nhận
quarrel;/ˈkwɔːr.əl/;n:cuộc tranh cãi/v:tranh cãi
quest;/kwest/;n:nhiệm vụ
question;/ˈkwes.tʃən/;n:câu hỏi/v:hỏi, nghi ngờ
quantity;/ˈkwɑːn.t̬ə.t̬i/;n:+ of lượng (của cái gì)
qualify;/ˈkwɑː.lə.faɪ/;v:đạt đủ điều kiện
quarantine;/ˈkwɔːr.ən.tiːn/;n:cách ly
quality;/ˈkwɑː.lə.t̬i/;n:chất lượng
qualification;/ˌkwɑː.lə.fəˈkeɪ.ʃən/;n:trình độ chuyên môn/n:thành công vào được cuộc thi
race;/reɪs/;n:loài, chủng, giống/n:cuộc đua/v:đua
radio;/ˈreɪ.di.əʊ/;n:sóng vô tuyến, radio
rail;/reɪl/;n:đường ray
rain;/reɪn/;n:mưa, cơn mưa/v:mưa
raise;/reɪz/;v:nâng lên, đưa lên, ngẩng lên
range;/reɪndʒ/;n:dãy, hàng, loại/n:phạm vi, trình độ
rather;/ˈrɑː.ðər/;adv:thà.. còn hơn, thích… hơn
reach;/riːtʃ/;v:đến, đi đến, tới
read;/riːd/;v:đọc
ready;/ˈred.i/;adj:sẵn sàng
real;/rɪəl/;adj:thực, thực tế, có thật
reason;/ˈriː.zən/;n:lý do, lý lẽ
receive;/rɪˈsiːv/;v:nhận, lĩnh, thu
record;/rɪˈkɔːd/;n:bản ghi, sự ghi, bản thu, sự thu/v:thu, ghi chép
red;/red/;adj:đỏ/v:màu đỏ
region;/ˈriː.dʒən/;n:vùng, miền
remember;/rɪˈmem.bər/;v:nhớ, nhớ lại
repeat;/rɪˈpiːt/;v:nhắc lại, lặp lại
reply;/rɪˈplaɪ/;n:sự trả lời, sự hồi âm/v:trả lời, hồi âm
represent;/ˌrep.rɪˈzent/;v:miêu tả, hình dung/v:đại diện, thay mặt
require;/rɪˈkwaɪər/;v:đòi hỏi, yêu cầu, quy định
requirement;/rɪˈkwaɪr.mənt/;n:yêu cầu
rest;/rest/;n:sự nghỉ ngơi, lúc nghỉ/v:nghỉ, nghỉ ngơi
result;/rɪˈzʌlt/;n:kết quả/v:bởi, do.. mà ra, kết quả là…
rich;/rɪtʃ/;adj:giàu, giàu có
ride;/raɪd/;v:đi, cưỡi (ngựa)/n:sự đi, đường đi
right;/raɪt/;adj:thẳng, phải, tốt/adv:ngay, đúng/n:điều thiện, điều phải, tốt, bên phải
ring;/rɪŋ/;n:chiếc nhẫn/v:đeo nhẫn cho ai
rise;/raɪz/;n:sự lên, sự tăng lương, thăng cấp/v:dậy, đứng lên, mọc (mặt trời), thành đạt
river;/ˈrɪv.ər/;n:sông
road;/rəʊd/;n:con đường, đường phố
rock;/rɒk/;n:đá
roll;/rəʊl/;n:cuốn, cuộn, sự lăn tròn/v:lăn, cuốn, quấn, cuộn
room;/ruːm/;n:phòng, buồng
root;/ruːt/;n:gốc, rễ
